id,year,name,abbr,state,votes,parties
2012_AL,2012,"Romney, Mitt",AL,Alabama,1255925,Republican
2012_AL,2012,"Obama, Barack",AL,Alabama,795696,Democratic
2012_AL,2012,"Johnson, Gary",AL,Alabama,12328,Independent
2012_AL,2012,"Stein, Jill",AL,Alabama,3397,Independent
2012_AL,2012,"Goode, Virgil H., Jr.",AL,Alabama,2981,Independent
2012_AK,2012,"Romney, Mitt",AK,Alaska,164676,Republican
2012_AK,2012,"Obama, Barack",AK,Alaska,122640,Democratic
2012_AK,2012,"Johnson, Gary",AK,Alaska,7392,Libertarian
2012_AK,2012,"Stein, Jill",AK,Alaska,2917,Green
2012_AZ,2012,"Romney, Mitt",AZ,Arizona,1233654,Republican
2012_AZ,2012,"Obama, Barack",AZ,Arizona,1025232,Democratic
2012_AZ,2012,"Johnson, Gary",AZ,Arizona,32100,Libertarian
2012_AZ,2012,"Stein, Jill",AZ,Arizona,7816,Green
2012_AZ,2012,"Goode, Virgil",AZ,Arizona,289,Write-In
2012_AZ,2012,"Anderson, Ross C. ""Rocky""",AZ,Arizona,119,Write-In
2012_AZ,2012,"Reed, Jill",AZ,Arizona,17,Write-In
2012_AZ,2012,"Christensen, Will",AZ,Arizona,14,Write-In
2012_AZ,2012,"Knill, Dennis",AZ,Arizona,7,Write-In
2012_AZ,2012,"Tittle, Sheila ""Samm""",AZ,Arizona,6,Write-In
2012_AR,2012,"Romney, Mitt",AR,Arkansas,647744,Republican
2012_AR,2012,"Obama, Barack",AR,Arkansas,394409,Democratic
2012_AR,2012,"Johnson, Gary",AR,Arkansas,16276,Libertarian
2012_AR,2012,"Stein, Jill",AR,Arkansas,9305,Green
2012_AR,2012,"Lindsay, Peta",AR,Arkansas,1734,Socialism and Liberation Party
2012_CA,2012,"Obama, Barack",CA,California,7854285,Democratic
2012_CA,2012,"Romney, Mitt",CA,California,4839958,Republican
2012_CA,2012,"Johnson, Gary",CA,California,143221,Libertarian
2012_CA,2012,"Stein, Jill",CA,California,85638,Green
2012_CA,2012,"Barr, Roseanne",CA,California,53824,Peace and Freedom
2012_CA,2012,"Hoefling, Thomas",CA,California,38372,American Independent
2012_CA,2012,"Paul, Ron",CA,California,21461,Write-In
2012_CA,2012,"Anderson, Ross C. ""Rocky""",CA,California,992,Write-In
2012_CA,2012,"Goode, Virgil",CA,California,503,Write-In
2012_CA,2012,"Alexander, Stewart",CA,California,82,Write-In
2012_CA,2012,"White, Jerry",CA,California,79,Write-In
2012_CA,2012,"Harris, James",CA,California,72,Write-In
2012_CA,2012,"Durham, Stephen",CA,California,54,Write-In
2012_CA,2012,"Tittle, Sheila ""Samm""",CA,California,6,Write-In
2012_CO,2012,"Obama, Barack",CO,Colorado,1323102,Democratic
2012_CO,2012,"Romney, Mitt",CO,Colorado,1185243,Republican
2012_CO,2012,"Johnson, Gary",CO,Colorado,35545,Libertarian
2012_CO,2012,"Stein, Jill",CO,Colorado,7508,Green
2012_CO,2012,"Goode, Virgil H., Jr.",CO,Colorado,6234,American Constitution Party
2012_CO,2012,"Barr, Roseanne",CO,Colorado,5059,Peace and Freedom
2012_CO,2012,"Reed, Jill",CO,Colorado,2589,Unaffiliated
2012_CO,2012,"Anderson, Ross C. ""Rocky""",CO,Colorado,1260,Justice Party
2012_CO,2012,"Tittle, Sheila 'Samm'",CO,Colorado,792,We the People
2012_CO,2012,"Hoefling, Tom",CO,Colorado,679,America’s Party
2012_CO,2012,"La Riva, Gloria",CO,Colorado,317,Socialism and Liberation Party
2012_CO,2012,"Alexander, Stewart",CO,Colorado,308,Socialist Party USA
2012_CO,2012,"Miller, Merlin",CO,Colorado,266,American Third Position
2012_CO,2012,"Stevens, Thomas Robert",CO,Colorado,235,Objectivist Party
2012_CO,2012,"Harris, James",CO,Colorado,192,Socialist Workers Party
2012_CO,2012,"White, Jerry",CO,Colorado,189,Socialist Equality Party
2012_CO,2012,"Terry, Randall",CO,Colorado,4,Write-In
2012_CT,2012,"Obama, Barack",CT,Connecticut,905083,Democratic
2012_CT,2012,"Romney, Mitt",CT,Connecticut,634892,Republican
2012_CT,2012,"Johnson, Gary",CT,Connecticut,12580,Libertarian
2012_CT,2012,"Anderson, Ross C. ""Rocky""",CT,Connecticut,5487,Independent Party
2012_CT,2012,"Stein, Jill",CT,Connecticut,863,Write-In
2012_CT,2012,"Hoefling, Tom",CT,Connecticut,25,Write-In
2012_CT,2012,"Warner, Gerald",CT,Connecticut,19,Write-In
2012_CT,2012,"Harris, James E.",CT,Connecticut,5,Write-In
2012_CT,2012,"Sizemore, Raymond",CT,Connecticut,5,Write-In
2012_CT,2012,"Durham, Stephen",CT,Connecticut,1,Write-In
2012_DE,2012,"Obama, Barack",DE,Delaware,242584,Democratic
2012_DE,2012,"Romney, Mitt",DE,Delaware,165484,Republican
2012_DE,2012,"Johnson, Gary",DE,Delaware,3882,Libertarian
2012_DE,2012,"Stein, Jill",DE,Delaware,1940,Green
2012_DE,2012,"Goode, Virgil",DE,Delaware,23,Write-In
2012_DE,2012,"Hoefling, Tom",DE,Delaware,7,Write-In
2012_DE,2012,"Reed, Jill",DE,Delaware,1,Write-In
2012_DC,2012,"Obama, Barack",DC,District of Columbia,267070,Democratic
